,name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price
0,Hero Passion X Pro [2016-2017],42000,2016,Individual,1st owner,15500,59095.0
1,Bajaj Discover 100,20000,2012,Individual,1st owner,85000,42859.0
2,Bajaj Discover 125,23000,2011,Individual,1st owner,66000,57549.0
3,Hero Hunk,35000,2013,Individual,1st owner,50000,78513.0
4,Bajaj Discover 125,38000,2018,Individual,1st owner,34000,60122.0
5,Hero Passion PRO i3s,50000,2017,Individual,1st owner,41000,56925.0
6,Yamaha Saluto,38000,2015,Individual,1st owner,15000,63180.0
7,Bajaj Avenger 220,90000,2019,Individual,1st owner,1300,95000.0
8,Honda CB Unicorn Dazzler,25000,2011,Individual,1st owner,40000,71757.0
9,Yamaha FZ25,145000,2019,Individual,1st owner,4500,133680.0
10,Yamaha FZ S V 2.0,85000,2018,Individual,1st owner,8000,84042.0
11,Bajaj Discover 100 T,25000,2014,Individual,1st owner,30000,47032.0
12,Bajaj Avenger Street 150 [2018],60000,2016,Individual,1st owner,45137,80435.0
13,Bajaj Pulsar 180,50000,2017,Individual,1st owner,20500,85011.0
14,Bajaj Pulsar 180,25000,2011,Individual,1st owner,43000,85011.0
15,Bajaj V15,42000,2016,Individual,1st owner,19500,67187.0
16,Hero Karizma ZMR,37000,2010,Individual,1st owner,27500,108000.0
17,Hero Passion XPro,28000,2012,Individual,1st owner,81000,56750.0
18,Honda Activa 3G,40000,2015,Individual,1st owner,36000,54605.0
19,Yamaha FZ V 2.0,35000,2014,Individual,1st owner,13500,81508.0
20,Activa 4g,40000,2019,Individual,1st owner,1300,51000.0
21,Honda CB Shine SP,41000,2017,Individual,1st owner,33000,66697.0
22,Honda Activa 3G,40000,2015,Individual,1st owner,3000,54605.0
23,Honda CB Hornet 160R,80000,2017,Individual,1st owner,18000,87719.0
24,Honda CB Trigger,45000,2015,Individual,1st owner,36000,83437.0
25,Honda CB Hornet 160R,65000,2016,Individual,1st owner,30000,88161.0
26,Royal Enfield Bullet 500,130000,2015,Individual,1st owner,34601,168482.0
27,TVS Scooty Zest 110,55000,2018,Individual,1st owner,380,53751.0
28,Hero Glamour 125,54000,2013,Individual,1st owner,17000,61600.0
29,Bajaj Discover 125,50000,2018,Individual,1st owner,6000,60122.0
30,Hero Karizma 2014,25000,2015,Individual,1st owner,40000,86744.0
31,Yamaha FZ25,120000,2018,Individual,1st owner,39000,132680.0
32,Bajaj Discover 125 ST,17500,2013,Individual,1st owner,38000,58438.0
33,Honda CB twister,16000,2012,Individual,1st owner,33000,51000.0
34,Bajaj Pulsar 180,85000,2016,Individual,1st owner,35000,85011.0
35,Honda Activa [2000-2015],25000,2007,Individual,1st owner,17860,50267.0
36,Yamaha Fascino 110,45000,2016,Individual,1st owner,56000,54500.0
37,Yamaha Saluto RX,40000,2017,Individual,1st owner,27000,49521.0
38,Hero Hunk,35000,2016,Individual,1st owner,32000,78513.0
39,Bajaj Discover 125,25000,2011,Individual,1st owner,70000,57549.0
40,Bajaj Discover 150F,40000,2014,Individual,2nd owner,60855,64071.0
41,Bajaj Avenger Street 150 [2018],60000,2016,Individual,2nd owner,27000,80435.0
42,Bajaj Avenger [2015],60000,2015,Individual,2nd owner,16000,75502.0
43,Hero Maestro,26500,2016,Individual,2nd owner,40000,53830.0
44,Bajaj Discover 100,24999,2012,Individual,2nd owner,35000,42859.0
45,Yamaha FZ16,35000,2012,Individual,2nd owner,29000,78712.0
46,Bajaj Discover 100,25000,2010,Individual,2nd owner,28000,42859.0
47,Bajaj Pulsar 180,42000,2014,Individual,2nd owner,19600,85011.0
48,TVS Wego,15000,2011,Individual,2nd owner,20000,54760.0
49,Bajaj Discover 150,25000,2014,Individual,2nd owner,71000,54299.0
50,Yamaha FZ S V 2.0,60000,2015,Individual,2nd owner,17500,84042.0
51,Honda CBR-250R,85000,2014,Individual,2nd owner,18600,171646.0
52,Yamaha SZ X,25000,2012,Individual,2nd owner,30000,65800.0
53,Kawasaki Ninja 250R,125000,2010,Individual,2nd owner,21000,317934.0
54,Honda Navi,28000,2016,Individual,2nd owner,10000,47255.0
55,Bajaj Pulsar 180,38000,2012,Individual,2nd owner,57000,85011.0
56,Yamaha Fazer 25,145000,2018,Individual,2nd owner,4100,142680.0
57,Bajaj Discover 125,20000,2014,Individual,2nd owner,25000,57000.0
58,Suzuki Access 125 [2007-2016],22000,2010,Individual,2nd owner,43000,58314.0
59,Royal Enfield Classic Chrome,185000,2015,Individual,2nd owner,5000,189313.0
60,Hero Splendor PRO,35000,2015,Individual,2nd owner,24000,51994.0
61,Vespa VX 125,45000,2013,Individual,2nd owner,50000,72303.0
62,Hero Xtreme Sports,43000,2016,Individual,2nd owner,50000,78350.0
63,Honda CBR-250R,100000,2011,Individual,2nd owner,3500,171646.0
64,Honda Dream Neo,45000,2017,Individual,2nd owner,21000,49211.0
